Abalone_2,Cleaner fish_2,Giant kelp_2,Herbivorous fishes_2,Large invertebrate-eating fishes_2,Limpets_2,Omnivorous invertebrates_2,Planktivorous fishes_2,Predatory invertebrates_2,Small invertebrate-eating fishes_2,Small piscivorous fishes_2,Snails_2,Understory kelp_2,Urchins_2,Abalone_3,Cleaner fish_3,Giant kelp_3,Herbivorous fishes_3,Large invertebrate-eating fishes_3,Limpets_3,Omnivorous invertebrates_3,Planktivorous fishes_3,Predatory invertebrates_3,Small invertebrate-eating fishes_3,Small piscivorous fishes_3,Snails_3,Understory kelp_3,Urchins_3,Abalone_7,Cleaner fish_7,Giant kelp_7,Herbivorous fishes_7,Large invertebrate-eating fishes_7,Limpets_7,Omnivorous invertebrates_7,Planktivorous fishes_7,Predatory invertebrates_7,Small invertebrate-eating fishes_7,Small piscivorous fishes_7,Snails_7,Understory kelp_7,Urchins_7,Abalone_1,Cleaner fish_1,Giant kelp_1,Herbivorous fishes_1,Large invertebrate-eating fishes_1,Limpets_1,Omnivorous invertebrates_1,Planktivorous fishes_1,Predatory invertebrates_1,Small invertebrate-eating fishes_1,Small piscivorous fishes_1,Snails_1,Understory kelp_1,Urchins_1,Abalone_4,Cleaner fish_4,Giant kelp_4,Herbivorous fishes_4,Large invertebrate-eating fishes_4,Limpets_4,Omnivorous invertebrates_4,Planktivorous fishes_4,Predatory invertebrates_4,Small invertebrate-eating fishes_4,Small piscivorous fishes_4,Snails_4,Understory kelp_4,Urchins_4,Abalone_5,Cleaner fish_5,Giant kelp_5,Herbivorous fishes_5,Large invertebrate-eating fishes_5,Limpets_5,Omnivorous invertebrates_5,Planktivorous fishes_5,Predatory invertebrates_5,Small invertebrate-eating fishes_5,Small piscivorous fishes_5,Snails_5,Understory kelp_5,Urchins_5,Abalone_6,Cleaner fish_6,Giant kelp_6,Herbivorous fishes_6,Large invertebrate-eating fishes_6,Limpets_6,Omnivorous invertebrates_6,Planktivorous fishes_6,Predatory invertebrates_6,Small invertebrate-eating fishes_6,Small piscivorous fishes_6,Snails_6,Understory kelp_6,Urchins_6
-4.605170186,-2.761450978,-1.832581464,-3.239078532,-3.995404614,-1.660731207,-2.813410717,-1.815232825,-2.302585093,-2.600991129,-3.405205403,-1.272965676,1.85159947,2.983659692,-4.605170186,-3.218875825,-1.966112856,-4.135166557,-4.135166557,-2.407945609,-2.813410717,-3.634391269,-2.407945609,-2.823461053,-3.493312671,-1.049822124,1.850028377,2.888147063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.896792326,-1.660731207,NA,-4.358310108,-3.506557897,-0.301105093,-2.748872196,NA,-3.738069698,-2.991740252,0.173953307,1.495148766,2.095560924,-2.995732274,-3.547379892,-2.040220829,-4.039856377,-3.160606917,-3.218875825,-0.510825624,-1.995100393,-2.525728644,-2.159350925,-2.453407983,-4.605170186,-0.693147181,2.257587727,-1.832581464,-3.493312671,-1.46967597,-4.186459851,-3.369698715,-2.120263536,-1.897119985,-3.228926161,-2.407945609,-2.316684017,-2.324830702,-3.506557897,-0.916290732,1.715598108,-4.605170186,-4.358310108,-1.897119985,-5.744604469,-4.422848629,-4.605170186,-2.525728644,-4.268697949,-2.995732274,-2.742641646,-2.074653025,-1.714798428,1.335001067,2.550226116
NA,-2.368724895,-1.897119985,-4.422848629,-3.872802292,-1.272965676,-1.832581464,-2.074653025,-2.120263536,-2.857710976,-3.780994743,-1.021651248,2.7047113,3.013080912,NA,-3.872802292,-2.813410717,-4.645992181,-3.79869432,-2.813410717,-0.562118918,-2.645075402,-2.120263536,-3.493312671,-3.513246885,-0.314710745,1.678963975,3.312366168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727355352,NA,NA,-4.358310108,-3.912023005,-0.597837001,-3.442019376,-4.605170186,-3.589939506,-4.110473944,0.2390169,1.987874348,2.266957915,-3.506557897,-5.521460918,-2.813410717,-4.086376393,-3.604538306,-2.995732274,-0.051293294,-1.753308283,-2.207274913,-2.479322271,-2.432693778,-3.912023005,1.882513832,1.930071085,-2.407945609,-3.493312671,-2.120263536,-4.039856377,-3.280751229,-2.525728644,-1.30933332,-1.177655496,-1.771956842,-2.434974281,-2.238671767,-3.218875825,2.543961413,1.45395301,-4.605170186,-0.890622985,-2.120263536,-5.184988681,-3.519980918,NA,-2.407945609,-3.036554268,-3.912023005,-2.73029581,-3.80766299,-1.139434283,1.532556868,2.365559892
NA,-4.039856377,0.009950331,-5.339139361,-4.422848629,-2.120263536,-4.605170186,-2.147292209,-2.302585093,-3.387294476,-7.13089883,-1.386294361,1.680827909,3.331847304,NA,-3.467337184,NA,-6.43775165,-4.358310108,-1.560647748,-4.605170186,-2.465104022,-1.714798428,-3.882464203,-5.051457289,-0.733969175,-2.407945609,3.452207303,NA,-3.665162927,NA,NA,NA,-2.995732274,-0.891598119,NA,-2.120263536,-5.521460918,-7.13089883,0.717839793,-4.605170186,4.002777369,NA,0.003992021,-0.072570693,NA,-3.79869432,NA,-1.46967597,-2.523231764,-4.605170186,-3.604538306,-3.789805373,0.371563556,1.742219024,2.145931283,-3.506557897,-3.729701449,0.364643114,-4.186459851,-3.369698715,-2.659260037,-1.203972804,-1.452434164,-2.040220829,-2.164563795,-2.498599977,NA,1.722766598,1.867176109,-2.040220829,-5.051457289,0.405465108,-4.422848629,-3.763603,-2.302585093,-2.659260037,-3.746508567,-1.832581464,-2.614559858,-2.093946228,NA,0.779324877,0.779324877,-4.605170186,-3.79869432,-1.171182982,-6.032286542,-4.186459851,-3.912023005,-2.659260037,-3.79869432,-3.218875825,-3.101092789,-3.738069698,-2.659260037,1.272565596,2.471483629
NA,-6.43775165,-2.040220829,-7.13089883,-4.186459851,-1.714798428,-1.347073648,-2.278868566,-1.46967597,-3.467337184,-4.098352584,-1.660731207,-0.248461359,3.716737782,NA,-3.442019376,NA,-4.297685486,-4.422848629,-1.714798428,-1.832581464,-2.952672784,-1.771956842,-4.039856377,-4.028556822,-0.385662481,-3.506557897,3.310543013,NA,NA,NA,NA,NA,-3.912023005,-0.693147181,NA,-2.120263536,-6.214608098,-6.214608098,1.121677562,NA,4.225957449,NA,-1.371997056,-0.616186139,-7.13089883,-4.135166557,NA,-1.272965676,-4.086376393,-4.605170186,-3.763603,-3.882464203,0.530628251,1.558144618,2.249184316,-3.506557897,-6.032286542,-0.867500568,-5.521460918,-3.003764445,-2.302585093,-0.673344553,-1.136314156,-1.966112856,-2.060423536,-2.265289308,-2.995732274,0.732367894,1.87946505,-2.040220829,NA,-0.400477567,-5.339139361,-3.442019376,-2.120263536,-1.386294361,-1.932401799,-1.609437912,-2.739540868,-2.796881415,-2.813410717,0.470003629,1.184789985,NA,NA,-1.108662625,-6.032286542,-3.995404614,-4.605170186,-2.407945609,-2.63108916,-2.302585093,-3.352407217,-3.952845,-1.714798428,1.413423029,2.752386015
NA,-4.297685486,-2.659260037,-5.521460918,-3.634391269,-1.514127733,-2.995732274,-1.998045903,-1.966112856,-3.313186504,-3.53358657,-1.272965676,-0.693147181,3.562465529,NA,-3.604538306,NA,NA,-4.645992181,-2.995732274,NA,-4.439655748,-2.040220829,-3.688879454,-4.268697949,0.609765572,-3.506557897,3.335057579,NA,NA,NA,NA,NA,-3.506557897,-0.494296322,NA,-2.040220829,-3.381394754,-6.43775165,0.620576488,NA,4.283172683,NA,-3.729701449,-0.713349888,-6.032286542,-4.645992181,-3.912023005,-1.049822124,-3.239078532,-4.605170186,-3.480240589,-4.605170186,0.867100488,1.788420568,2.3896798,-3.218875825,-4.186459851,-0.84397007,-3.872802292,-2.676551534,-3.218875825,-0.798507696,-1.710363831,-2.302585093,-2.082646673,-2.592937394,-4.605170186,0.139761942,2.324346585,-2.995732274,-3.872802292,-0.527632742,-4.645992181,-3.872802292,-2.659260037,-1.966112856,-2.455736272,-1.46967597,-2.161085531,-2.810082927,-2.813410717,0.019802627,1.706564623,-3.912023005,-2.787093408,-1.021651248,-6.032286542,-3.79869432,-4.605170186,-4.605170186,-3.506557897,-3.218875825,-3.611918413,-4.605170186,-0.776528789,1.788420568,2.833801406
NA,-4.240527072,NA,-5.521460918,-4.933674253,-1.897119985,-1.347073648,-3.239078532,-1.46967597,-3.358137892,-3.984593698,-0.072570693,-0.210721031,3.5720647,-4.605170186,-3.872802292,NA,-7.13089883,-4.358310108,-2.813410717,-2.120263536,-4.779523573,-2.407945609,-3.460947386,-4.342805922,0.277631737,0.570979547,2.980618636,NA,NA,NA,NA,NA,-3.218875825,-1.347073648,NA,-2.813410717,NA,-5.521460918,0.104360015,-0.579818495,4.332048265,NA,-1.006215439,-2.120263536,NA,-3.696911626,NA,-0.994252273,-4.422848629,-3.912023005,-3.189317023,-4.625372893,0.698134722,1.924248652,2.924773185,-2.659260037,-5.184988681,-1.171182982,-3.872802292,-3.239078532,-1.966112856,-0.328504067,-1.418817553,-1.560647748,-2.294616923,-2.566550639,NA,2.048982334,2.360854001,-2.525728644,-6.032286542,-0.653926467,-3.912023005,-3.280751229,-2.207274913,-2.302585093,-3.10554714,-1.514127733,-2.368724895,-1.659679129,-2.813410717,2.399711804,1.706564623,NA,-7.13089883,-1.609437912,NA,-4.086376393,-4.605170186,-2.659260037,-2.196424897,-2.995732274,-3.324236341,-3.213888283,-1.139434283,1.30833282,2.533696814
NA,-3.872802292,-4.605170186,-7.13089883,-5.339139361,-1.427116356,-2.659260037,-3.506557897,-0.967584026,-3.199073198,-4.135166557,-0.328504067,-3.218875825,3.557060879,NA,-5.521460918,-2.813410717,-5.744604469,-5.184988681,-2.525728644,-3.218875825,-4.933674253,-2.659260037,-3.302257434,-4.828313737,0.615185639,-0.94160854,2.687847494,NA,NA,-3.506557897,NA,NA,-3.912023005,-2.120263536,NA,-2.995732274,-6.907755279,-6.214608098,-0.139262067,-3.912023005,4.648612744,NA,-3.393229212,-1.347073648,NA,-4.933674253,NA,-1.46967597,-3.853754097,-2.659260037,-3.429596856,-4.605170186,0.996948635,1.570697084,2.601207105,-3.218875825,-1.554949727,-1.714798428,-3.053361386,-2.972015747,-1.347073648,-0.46203546,-2.152442435,-1.386294361,-1.375156617,-2.061994628,-4.605170186,0.31481074,2.411439498,-2.407945609,-3.07045582,-0.916290732,-3.665162927,-3.324236341,-2.995732274,-2.525728644,-2.135377174,-1.514127733,-1.294627173,-2.286711744,-2.813410717,0.412109651,1.859418118,NA,-4.933674253,-1.660731207,-4.240527072,-4.039856377,-4.605170186,-2.207274913,-4.135166557,-3.218875825,-2.26144315,-2.857710976,-0.820980552,1.528227857,2.857044754
NA,NA,NA,-6.43775165,-4.933674253,-1.714798428,-2.525728644,-3.825845309,-1.560647748,-3.179655112,-4.828313737,0.300104592,NA,3.693618208,NA,-3.575550769,-1.514127733,-5.339139361,-5.339139361,-2.120263536,-1.427116356,-2.995732274,-2.040220829,-3.218875825,-3.863232841,0.254642218,0.336472237,3.714059753,NA,NA,NA,NA,NA,NA,-1.609437912,NA,-2.659260037,-6.214608098,-6.907755279,0.009950331,NA,4.61244367,NA,-2.53577898,-1.46967597,NA,-3.835061964,-3.912023005,-0.653926467,-4.039856377,-3.506557897,-2.269150317,-3.780994743,0.951657876,1.811562097,3.128951117,-2.813410717,NA,-1.049822124,-2.23305903,-3.79869432,-1.660731207,-0.494296322,-1.560647748,-1.427116356,-2.419118909,-3.393229212,-4.605170186,1.754403683,2.152924318,-1.714798428,NA,-0.597837001,-2.882403588,-3.604538306,-2.207274913,-1.660731207,-1.184170177,-1.347073648,-2.310617265,-3.174858939,-2.207274913,1.068153081,1.986503546,-3.912023005,-1.301953213,-1.897119985,-7.13089883,-3.467337184,-4.605170186,-2.207274913,-3.995404614,-2.407945609,-2.595614772,-2.948848688,-0.673344553,1.568615918,3.038791763
NA,-7.13089883,NA,-5.744604469,-4.491841501,-1.30933332,-2.407945609,-2.259525604,-1.609437912,-3.203987212,-4.268697949,0.672944473,NA,3.979494721,NA,-5.339139361,NA,-5.051457289,-3.575550769,-1.714798428,-1.560647748,-3.835061964,-1.609437912,-2.826833737,-4.006333685,0.652325186,NA,3.569532696,NA,NA,NA,NA,NA,-2.525728644,-1.237874356,NA,-2.040220829,-4.828313737,-6.907755279,0.019802627,NA,4.26633516,-4.605170186,0.394201916,-1.714798428,NA,-4.135166557,-2.995732274,-1.171182982,-4.297685486,-2.525728644,-2.697110261,-4.422848629,0.559615788,2.089391873,3.362109993,-3.218875825,-3.952845,-0.15082289,-2.63108916,-2.826833737,-1.427116356,-1.714798428,-1.825109449,-0.776528789,-1.781413177,-2.448767603,-2.995732274,1.686398954,2.355177543,-1.714798428,NA,0.207014169,-4.358310108,-2.972015747,-1.272965676,-3.218875825,-0.963382339,-1.203972804,-2.312635429,-2.622790357,-1.897119985,1.982379829,1.89761986,NA,-2.556187852,-0.994252273,-4.240527072,-3.604538306,-3.912023005,-2.525728644,-1.551169004,-2.659260037,-2.987764104,-2.933696883,-0.527632742,1.848454813,3.534853766
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.297685486,NA,-5.521460918,-4.828313737,-1.386294361,-1.966112856,-2.926206211,-1.272965676,-2.54338358,-3.912023005,-0.030459207,NA,3.937105786,NA,-1.365707728,-2.813410717,-5.184988681,-4.491841501,-2.407945609,-0.867500568,-4.268697949,-1.427116356,-2.647896278,-3.358137892,0.058268908,0.598836501,3.470723444,NA,-1.954749098,NA,NA,NA,NA,-1.049822124,NA,-1.386294361,-4.710530702,-5.878135862,-0.094310679,-3.218875825,4.055603734,NA,-1.7837913,NA,NA,-3.835061964,-4.605170186,-1.514127733,-3.995404614,-2.120263536,-2.498599977,-3.912023005,0.494696242,1.278152203,3.537475,-2.813410717,-0.46140074,-1.514127733,-3.79869432,-3.547379892,-1.560647748,-0.579818495,-0.667479434,-0.967584026,-1.350927217,-1.621510494,-2.659260037,0.336472237,2.412335957,-1.832581464,-0.906340401,-0.713349888,-3.442019376,-2.787093408,-1.714798428,-2.995732274,-1.042421009,-1.560647748,-2.031032402,-2.718100537,-1.560647748,0.712949808,2.131796772,NA,-1.136937403,-1.46967597,-5.744604469,-3.995404614,-3.218875825,-2.813410717,-3.381394754,-2.040220829,-2.662121269,-2.460409178,-1.237874356,1.337629189,3.135059339
